Sr.No.,Name,SMILES,CAS No,Mol. Wt.,Mol. Formula,PubChem,ZINC
669,Vanadium,[V],7440-62-2,50.94,V,23990,
670,Yttrium,[Y],231-174-8,88.91,Y,23993,
671,Zinc,[Zn],7440-66-6,65.38,Zn,23994,
672,Magnesium sulfate,[O-]S(=O)(=O)[O-].[Mg+2],7487-88-9,120.37,MgSO4,24083,
673,Mercuric chloride,Cl[Hg]Cl,7487-94-7,271.50,HgCl2,24085,
674,Disodium hydrogen phosphate,OP(=O)([O-])[O-].[Na+].[Na+],7558-79-4,141.96,Na2HPO4,24203,
675,Propylene glycol,CC(CO)O,57-55-6,76.09,C3H8O2,1030,ZINC895316
676,Perchloric acid,OCl(=O)(=O)=O,7601-90-3,100.46,ClHO4,24247,
677,Silicon dioxide,O=[Si]=O,7631-86-9,60.08,SiO2,24261,
678,Sodium monofluorophosphate,[O-]P(=O)([O-])F.[Na+].[Na+],10163-15-2,143.95,H2FO3P,24266,ZINC8214675
679,Fluorophosphoric acid,OP(=O)(O)F,13537-32-1,99.99,H2FO3P,24267,ZINC8214675
680,Sodium nitrate,[N+](=O)([O-])[O-].[Na+],7631-99-4,84.99,NaNO3,24268,
681,beta-D-Fructopyranose,C1[C@H]([C@H]([C@@H]([C@](O1)(CO)O)O)O)O,7660-25-5,180.16,C6H12O6,24310,ZINC3861095
682,Nickel chloride,Cl[Ni]Cl,7718-54-9,129.60,NiCl2,24385,
683,Ferrous sulfate,[O-]S(=O)(=O)[O-].[Fe+2],7720-78-7,151.91,FeO4S,24393,
684,Ammonium dihydrogen phosphate,[NH4+].OP(=O)(O)[O-],7722-76-1,115.03,NH4H2PO4,24402,
685,Tetrasodium pyrophosphate,[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],7722-88-5,265.90,H4O7P2,24403,ZINC6827695
686,Pyridoxine,CC1=NC=C(C(=C1O)CO)CO,65-23-6,169.18,C8H11NO3,1054,ZINC49154
687,Phosphine,P,7803-51-2,34.00,PH3,24404,
688,Potassium persulfate,[O-]S(=O)(=O)OOS(=O)(=O)[O-].[K+].[K+],7727-21-1,270.32,K2S2O8,24412,
689,Barium sulfate,[O-]S(=O)(=O)[O-].[Ba+2],7727-43-7,233.39,BaSO4,24414,
690,Potassium nitrate,[N+](=O)([O-])[O-].[K+],7757-79-1,101.10,KNO3,24434,
691,Sodium sulfate,[O-]S(=O)(=O)[O-].[Na+].[Na+],7757-82-6,142.04,Na2SO4,24436,
692,Sodium sulfite,[O-]S(=O)[O-].[Na+].[Na+],7757-83-7,126.04,H2O3S,24437,ZINC8383181
693,Magnesium phosphate,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Mg+2].[Mg+2].[Mg+2],7757-87-1,262.86,Mg3(PO4)2,24439,
694,Calcium hydrogen phosphate,OP(=O)([O-])[O-].[Ca+2],7757-93-9,136.06,CaHPO4,24441,
695,Calcium phosphate,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2],7758-87-4,310.18,Ca3O8P2,24456,
696,Lead chromate,[O-][Cr](=O)(=O)[O-].[Pb+2],7758-97-6,323.19,PbCrO4,24460,
697,Pyrogallol,C1=CC(=C(C(=C1)O)O)O,87-66-1,126.11,C6H6O3,1057,ZINC330141
698,Copper sulfate pentahydrate,O.O.O.O.O.[O-]S(=O)(=O)[O-].[Cu+2],7758-99-8,249.68,CuSO4.5H2O,24463,
699,Silver nitrate,[N+](=O)([O-])[O-].[Ag+],7761-88-8,169.87,AgNO3,24470,
700,Stannous chloride,Cl[Sn]Cl,7772-99-8,189.61,SnCl2,24479,
701,Ammonium sulfamate,[NH4+].NS(=O)(=O)[O-],7773-06-0,114.12,H3NO3S,24482,ZINC238809066
702,Mercuric iodide,I[Hg]I,7774-29-0,454.40,HgI2,24485,
703,Sodium chromate,[O-][Cr](=O)(=O)[O-].[Na+].[Na+],7775-11--3,161.97,Na2CrO4,24488,
704,Calcium sulfate,[O-]S(=O)(=O)[O-].[Ca+2],7778-18-9,136.14,CaSO4,24497,
705,Calcium arsenate,[O-][As](=O)([O-])[O-].[O-][As](=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2],7778-44-1,398.07,As2Ca3O8,24501,
706,Potassium dichromate,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],7778-50-9,294.18,K2Cr2O7,24502,
707,Potassium sulfate,[O-]S(=O)(=O)[O-].[K+].[K+],7778-80-5,174.26,K2SO4,24507,
708,Adipic acid,C(CCC(=O)O)CC(=O)O,124-04-9,146.14,C6H10O4,196,ZINC1530348
709,Quinolinic acid,C1=CC(=C(N=C1)C(=O)O)C(=O)O,89-00-9,167.12,C7H5NO4,1066,ZINC331671
710,Deuterium,[2H][2H],7782-39-0,4.03,H2,24523,
711,Sodium amide,[NH2-].[Na+],7782-92-5,39.01,NaNH2,24533,
712,Diammonium hydrogen phosphate,[NH4+].[NH4+].OP(=O)([O-])[O-],7783-28-0,132.06,(NH4)2HPO4,24540,
713,Potassium mercuric iodide,[K+].[K+].I[Hg-2](I)(I)I,7783-33-7,786.40,K2HgI4,24542,
714,Mercuric sulfate,[O-]S(=O)(=O)[O-].[Hg+2],7783-35-9,296.65,HgSO4,24544,
715,Lead fluoride,F[Pb]F,7783-46-2,245.20,PbF2,24549,
716,Silver Iodide,[Ag]I,7783-96-2,234.77,AgI,24563,
717,Schultenite,O[As](=O)([O-])[O-].[Pb+2],7784-40-9,347.13,PbHAsO4,24572,
718,Manganese sulfate,[O-]S(=O)(=O)[O-].[Mn+2],7785-87-7,151.00,MnSO4,24580,
719,Isopulegol,CC1CCC(C(C1)O)C(=C)C,7786-67-6,154.25,C10H18O,24585,ZINC2558675
720,Selenious acid,O[Se](=O)O,7783-00-8,128.97,H2SeO3,1091,
721,Nickel sulfate,[O-]S(=O)(=O)[O-].[Ni+2],7786-81-4,154.76,NiSO4,24586,
722,Barium permanganate,[O-][Mn](=O)(=O)=O.[O-][Mn](=O)(=O)=O.[Ba+2],7787-36-2,375.20,BaMn2O8,24587,
723,Beryllium fluoride,[Be+2].[F-].[F-],7787-49-7,47.01,BeF2,24589,
724,Potassium chromate,[O-][Cr](=O)(=O)[O-].[K+].[K+],7789-00-6,194.19,K2CrO4,24597,
725,Strontium chromate,[O-][Cr](=O)(=O)[O-].[Sr+2],7789--06-2,203.61,SrCrO4,24599,
726,Ammonium dichromate,[NH4+].[NH4+].[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-],7789-09--5,252.06,(NH4)2Cr2O7,24600,
727,Deuterium oxide,[2H]O[2H],7789-20-0,20.03,D2O,24602,
728,Calcium iodate,[O-]I(=O)=O.[O-]I(=O)=O.[Ca+2],7789-80-2,389.88,CaI2O6,24619,
729,Calcium pyrophosphate,[O-]P(=O)([O-])OP(=O)([O-])[O-].[Ca+2].[Ca+2],7790-76-3,254.10,Ca2P2O7,24632,
730,Ammonium perchlorate,[NH4+].[O-]Cl(=O)(=O)=O,7790-98-9,117.49,NH4ClO4,24639,
731,Succinic acid,C(CC(=O)O)C(=O)O,110-15-6,118.09,C4H6O4,1110,ZINC895030
732,Cobalt chloride hexahydrate,O.O.O.O.O.O.[Cl-].[Cl-].[Co+2],7791-13-1,237.93,Cl2CoH12O6,24643,
733,Acid yellow 3,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],8004-92-0,477.38,C18H9NNa2O8S2,24671,
734,"2-(1,3-Dioxo-2,3-dihydro-1h-inden-2-yl)quinoline-6,8-disulfonic acid",C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)O)S(=O)(=O)O,94803-32-4,433.41,C18H11NO8S2,24672,ZINC100048114
735,Propham,CC(C)OC(=O)NC1=CC=CC=C1,122-42-9,179.22,C10H13NO2,24685,ZINC395011
736,"Lignosulfonic acid, calcium salt",COC1=CC=CC(=C1O)CC(CS(=O)(=O)[O-])OC2=C(C=C(C=C2)CCCS(=O)(=O)[O-])OC.[Ca+2],8061-52-7,528.61,C20H24CaO10S2,24711,
737,Cyprazine,CC(C)NC1=NC(=NC(=N1)NC2CC2)Cl,22936-86-3,227.69,C9H14ClN5,24738,ZINC395880
738,Phenmedipham,CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC,13684-63-4,300.31,C16H16N2O4,24744,ZINC390960
739,"Mannose, D-",C(C(C(C(C(C=O)O)O)O)O)O,45009-62-9,180.16,C6H12O6,24749,ZINC3830679
740,Sodium hydride,[H-].[Na+],7646-69-7,25.01,NaH,24758,
741,Barium nitrate,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ba+2],10022-31-8,261.34,BaN2O6,24798,
742,Mercurous bromide,Br[Hg].Br[Hg],15385-58-7,560.99,Hg2Br2,24829,
743,Thallium sulfate,[O-]S(=O)(=O)[O-].[Tl+].[Tl+],7446-18-6,504.83,Tl2SO4,24833,
744,Magnesium perchlorate,[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O.[Mg+2],10034-81-8,223.21,Mg(ClO4)2,24840,
745,Magnesium sulfate heptahydrate,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Mg+2],10034-99-8,246.47,H14MgO11S,24843,
746,Aluminum sulfate,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3],10043-01-3,342.15,Al2(SO4)3,24850,
747,Calplus,[Cl-].[Cl-].[Ca+2],10043-52-4,110.98,CaCl2,24854,
748,Aluminum potassium sulfate,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+],10043-67-1,258.21,KAl(SO4)2,24856,
749,Radon,[Rn],10043-92-2,222.00,Rn,24857,
750,Chromous chloride,Cl[Cr]Cl,10049-05-5,122.90,CrCl2,24871,
751,Ferric pyrophosphate,[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[Fe+3].[Fe+3].[Fe+3].[Fe+3],10058-44-3,745.21,Fe4(P2O7)3,24877,
752,Taurine,C(CS(=O)(=O)O)N,107-35-7,125.15,C2H7NO3S,1123,ZINC3809490
753,Calcium sulfate dihydrate,O.O.[O-]S(=O)(=O)[O-].[Ca+2],10101-41-4,172.17,CaH4O6S,24928,
754,Lead(II) iodide,I[Pb]I,10101-63-0,461.01,PbI2,24931,
755,Thallium nitrate,[N+](=O)([O-])[O-].[Tl+],10102-45-1,266.39,TlNO3,24937,
756,Cadmium chloride,Cl[Cd]Cl,10108-64-2,183.32,CdCl2,24947,
757,Calomel,Cl[Hg].Cl[Hg],10112-91-1,472.09,Cl2Hg2,24956,
758,Potassium sulfite,[O-]S(=O)[O-].[K+].[K+],10117-38-1,158.26,K2O3S,24958,
759,Cadmium sulfate,[O-]S(=O)(=O)[O-].[Cd+2],10124-36-4,208.47,CdSO4,24962,
760,Cobalt sulfate,[O-]S(=O)(=O)[O-].[Co+2],10124-43-3,155.00,CoO4S,24965,
761,Calcium chlorate,[O-]Cl(=O)=O.[O-]Cl(=O)=O.[Ca+2],10137-74-3,206.98,CaCl2O6,24978,
762,Cobalt nitrate,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Co+2],10141-05-6,182.94,CoN2O6,25000,
763,Uric acid,C12=C(NC(=O)N1)NC(=O)NC2=O,69-93-2,168.11,C5H4N4O3,1175,ZINC2041003
764,Ammonium sulphite,[NH4+].[NH4+].[O-]S(=O)[O-],10196-04-0,116.14,H8N2O3S,25041,
765,Barium chromate,[O-][Cr](=O)(=O)[O-].[Ba+2],10294-40-3,253.32,BaCrO4,25136,
766,Cesium sulfate,[O-]S(=O)(=O)[O-].[Cs+].[Cs+],10294-54-9,361.87,Cs2O4S,25137,
767,Barium chloride,[Cl-].[Cl-].[Ba+2],10361-37-2,208.23,BaCl2,25204,
768,Trolamine salicylate,C1=CC=C(C(=C1)C(=O)O)O.C(CO)N(CCO)CCO,2174-16-5,287.31,C13H21NO6,25213,
769,"Arsenenous acid, strontium salt, tetrahydrate",O.O.O.O.[O-][As]=O.[O-][As]=O.[Sr+2],10378-48-0,373.52,As2H8O8Sr,25214,
770,Stanozolol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC5=C(C4)NN=C5)C,10418-03-8,328.49,C21H32N2O,25249,ZINC4097376
771,L-Rhamnose,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O,73-34-7,164.16,C6H12O5,25310,ZINC1532676
772,Sodium dichromate,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],10588-01-9,261.97,Na2Cr2O7,25408,
773,Carbendazim,COC(=O)NC1=NC2=CC=CC=C2N1,10605-21-7,191.19,C9H9N3O2,25429,ZINC43475
774,DL-Valine,CC(C)C(C(=O)O)N,516-06--3,117.15,C5H11NO2,1182,ZINC895099
775,Zinc potassium chromate,[OH-].[O-][Cr](=O)(=O)[O-].[O-][Cr](=O)(=O)[O-].[K+].[Zn+2].[Zn+2],37224-57-0,418.85,Cr2HKO9Zn2,25466,
776,Ammonium iodide,[NH4+].[I-],12027-06-4,144.94,H4IN,25487,
777,Ammonium bromide,[NH4+].[Br-],12124-97-9,97.94,NH4Br,25514,
778,Ammonium fluoride ((NH4)F),[NH4+].[F-],12125-01-8,37.04,NH4F,25516,
779,Ammonium chloride,[NH4+].[Cl-],12125-02-9,53.49,NH4Cl,25517,
780,Calcium disodium edetate,C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Ca+2],12264-18-5,330.30,C10H14CaN2O8,25544,
781,Titanium dioxide,O=[Ti]=O,13463-67-7,79.87,TiO2,26042,
782,Beryllium sulfate,[Be+2].[O-]S(=O)(=O)[O-],13510-49-1,105.07,BeSO4,26077,
783,Zinc chromate,[O-][Cr](=O)(=O)[O-].[Zn+2],13530-65-9,181.37,ZnCrO4,26089,
784,Dechlorane plus,C1CC2C(CCC3C1C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)C5(C(=C(C2(C5(Cl)Cl)Cl)Cl)Cl)Cl,13560-89-9,653.72,C18H12Cl12,26111,ZINC150345831
785,DL-Methamphetamine,CC(CC1=CC=CC=C1)NC,7632-10--2,149.23,C10H15N,1206,ZINC8466459
786,Beryllium nitrate,[Be+2].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-],13597-99-4,133.02,BeN2O6,26126,
787,Sodium ferrocyanide,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Na+].[Na+].[Na+].[Na+].[Fe+2],13601-19-9,303.91,Na4Fe(CN)6,26129,
788,Zirconium nitrate,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Zr+4],13746-89-9,339.24,N4O12Zr,26251,
789,Cobaltous sulfamate,NS(=O)(=O)[O-].NS(=O)(=O)[O-].[Co+2],14017-41-5,251.10,CoH4N2O6S2,26398,
790,Lithium chromate,[Li+].[Li+].[O-][Cr](=O)(=O)[O-],14307-35-8,129.88,Li2CrO4,26627,
791,Ferbam,CN(C)C(=S)[S-].CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Fe+3],14484-64-1,416.49,C9H18FeN3S6,26710,
792,Talc,O[Si](=O)[O-].O[Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Mg+2].[Mg+2].[Mg+2],14807-96-6,379.27,H2Mg3O12Si4,26924,
793,Clemastine,C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C,15686-51-8,343.89,C21H26ClNO,26987,ZINC402830
794,Pancuronium bromide,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-].[Br-],15500-66-0,732.67,C35H60Br2N2O4,27350,
795,Chlorotoluron,CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl,15545-48-9,212.68,C10H13ClN2O,27375,ZINC69747
796,2-(6-Methoxy-2-naphthyl)propionic acid,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,23981-80-8,230.26,C14H14O3,1302,ZINC105216
797,Nickel formate,C(=O)[O-].C(=O)[O-].[Ni+2],3349-06--2,148.73,C2H2NiO4,27506,
798,Isosorbide mononitrate,C1[C@@H]([C@@H]2[C@H](O1)[C@@H](CO2)O[N+](=O)[O-])O,16051-77-7,191.14,C6H9NO6,27661,ZINC1849548
799,Sodium hexafluorosilicate,F[Si-2](F)(F)(F)(F)F.[Na+].[Na+],16893-85-9,188.06,Na2SiF6,28127,
800,Ammonium hexafluorosilicate,[NH4+].[NH4+].F[Si-2](F)(F)(F)(F)F,16919-19-0,178.15,F6H8N2Si,28145,
801,Calusterone,C[C@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]([C@]4(CC3)C)(C)O)C,17021-26-0,316.48,C21H32O2,28204,ZINC4215173
802,Eosin Scarlet,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)[N+](=O)[O-])[O-])Br)Br)[N+](=O)[O-])C(=O)[O-].[Na+].[Na+],548-24-3,624.06,C20H6Br2N2Na2O9,29090,ZINC4261930
803,Oryzalin,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-],19044-88-3,346.36,C12H18N4O6S,29393,ZINC5733096
804,Oxadiazon,CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl,19666-30-9,345.22,C15H18Cl2N2O3,29732,ZINC5442490
805,Neohesperidin dihydrochalcone,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O,20702-77-6,612.58,C28H36O15,30231,ZINC4175639
806,Antapentan,C[C@H]1[C@@H](OCCN1C)C2=CC=CC=C2,634-03-7,191.27,C12H17NO,30487,ZINC22010387
807,"2,4,5-Trichlorophenoxyacetic acid",C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,93-76-5,255.48,C8H5Cl3O3,1480,ZINC56520
808,Mercuric oxide,O=[Hg],21908-53-2,216.59,HgO,30856,
809,Glycerine trioleate,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,122-32-7,885.43,C57H104O6,31207,ZINC85545180
810,Succinoyl peroxide,C(CC(=O)OOC(=O)CCC(=O)O)C(=O)O,123-23-9,234.16,C8H10O8,31248,ZINC1596409
811,Urea nitrate,C(=O)(N)N.[N+](=O)(O)[O-],124-47-0,123.07,CH5N3O4,31295,
812,Tris(hydroxymethyl)nitromethane,C(C(CO)(CO)[N+](=O)[O-])O,126-11-4,151.12,C4H9NO5,31337,ZINC1640851
813,Sucrose octaacetate,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,126-14-7,678.59,C28H38O19,31340,ZINC4217476
814,Sulfolane,C1CCS(=O)(=O)C1,126-33-0,120.17,C4H8O2S,31347,ZINC3860777
815,Tributyl phosphate,CCCCOP(=O)(OCCCC)OCCCC,126-73-8,266.31,C12H27O4P,31357,ZINC1586777
816,Zinc phenolsulfonate,C1=CC(=CC=C1O)S(=O)(=O)[O-].C1=CC(=CC=C1O)S(=O)(=O)[O-].[Zn+2],127-82-2,411.71,C12H10O8S2Zn,31391,
817,Allantoin,C1(C(=O)NC(=O)N1)NC(=O)N,97-59-6,158.12,C4H6N4O3,204,ZINC1843029
818,"2,4-Dichlorophenoxyacetic acid",C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,94-75-7,221.04,C8H6Cl2O3,1486,ZINC57143
819,beta-Narcotine,CN1CCC2=CC3=C(C(=C2[C@@H]1[C@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,3860-46-6,413.42,C22H23NO7,31411,ZINC19418976
820,Propyzamide,CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,23950-58-5,256.13,C12H11Cl2NO,32154,ZINC2014897
821,Tripropylene glycol,CC(CO)OCC(C)OCC(C)O,24800-44-0,192.25,C9H20O4,32611,ZINC2014438
822,Reserpinine,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C=CC6=CC(=C(C(=C6)OC)OC)OC,24815-24-5,634.72,C35H42N2O9,32681,ZINC4097185
823,Profluralin,CCCN(CC1CC1)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],26399-36-0,347.29,C14H16F3N3O4,33500,ZINC5315716
824,Sodium azide,[N-]=[N+]=[N-].[Na+],26628-22-8,65.01,NaN3,33557,
825,Norflurazon,CNC1=C(C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F)Cl,27314-13-2,303.67,C12H9ClF3N3O,33775,ZINC271610
826,Zidovudine,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],30516-87-1,267.24,C10H13N5O4,35370,ZINC3779042
827,Iprodione,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,36734-19-7,330.17,C13H13Cl2N3O3,37517,ZINC154980
828,Amitrole,C1=NNC(=N1)N,61-82-5,84.08,C2H4N4,1639,ZINC16889962
829,Ribavirin,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,36791-04-5,244.20,C8H12N4O5,37542,ZINC1035331
830,Validamycin A,C1C(C(C(C(C1NC2C=C(C(C(C2O)O)O)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O)CO,37248-47-8,497.49,C20H35NO13,443629,ZINC8437016
831,Aroclor 1016,C1=CC(=CC(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl,38444-87-0,257.54,C12H7Cl3,38037,ZINC2007782
832,Glyphosate-isopropylammonium,CC(C)N.C(C(=O)O)NCP(=O)(O)O,38641-94-0,228.18,C3H8NO5P,38078,ZINC3872713
833,Methyldopa,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,555-30-6,211.21,C10H13NO4,38853,ZINC20255
834,Nadolol,CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O,42200-33-9,309.40,C17H27NO4,39147,ZINC3831165
835,O-Ethyl S-(2-diisopropylaminoethyl) methylphosphonothioate,CCOP(=O)(C)SCCN(C(C)C)C(C)C,50782-69-9,267.37,C11H26NO2PS,39793,ZINC2005656
836,Hexazinone,CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C,51235-04-2,252.31,C12H20N4O2,39965,ZINC900553
837,Diclofop-methyl,CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl,51338-27-3,341.19,C16H14Cl2O4,39985,ZINC900712
838,Thidiazuron,C1=CC=C(C=C1)NC(=O)NC2=CN=NS2,51707-55-2,220.25,C9H8N4OS,40087,ZINC73715
839,4-Aminopyridine,C1=CN=CC=C1N,504-24-5,94.11,C5H6N2,1727,ZINC599985
840,Ethylene glycol dinitrate,C(CO[N+](=O)[O-])O[N+](=O)[O-],628-96-6,152.06,C2H4N2O6,40818,ZINC5178846
841,2-Cyano-N-[(ethylamino)carbonyl]-2-(methoxyimino)acetamide,CCNC(=O)NC(=O)C(=NOC)C#N,166900-80-7,198.18,C7H10N4O3,42614,ZINC254751001
842,Propiconazole,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,60207-90-1,342.22,C15H17Cl2N3O2,43234,ZINC43463
843,Bromethalin,CN(C1=C(C=C(C=C1C(F)(F)F)[N+](=O)[O-])[N+](=O)[O-])C2=C(C=C(C=C2Br)Br)Br,63333-35-7,577.93,C14H7Br3F3N3O4,44465,ZINC38141427
844,Chlorsulfuron,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl,64902-72-3,357.77,C12H12ClN5O4S,47491,ZINC902231
845,Fluazifop-butyl,CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F,69806-50-4,383.36,C19H20F3NO4,50897,ZINC1532125
846,L-Cysteine hydrochloride,C([C@@H](C(=O)O)N)S.Cl,52-89-1,157.62,C3H8ClNO2S,60960,
847,Morphine,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,57-27-2,225.16,C17H19NO3,5288826,
848,"(2R,3R,4R)-2,3,4,5-Tetrahydroxypentanal",C([C@H]([C@H]([C@H](C=O)O)O)O)O,50-69-1,321.45,C5H10O5,5311110,
849,Adenosine,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,58-61-7,267.24,C10H13N5O4,60961,ZINC2169830
850,Tert-Butyl peroxyacetate,CC(=O)OOC(C)(C)C,107-71-1,132.16,C6H12O3,61019,ZINC1708237
851,Perfluoroisobutylene,C(=C(F)F)(C(F)(F)F)C(F)(F)F,382-21-8,200.03,C4F8,61109,ZINC1850983
852,Phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,57-41-0,252.27,C15H12N2O2,1775,ZINC2510358
853,Sodium arsenate heptahydrate,O.O.O.O.O.O.O.O[As](=O)([O-])[O-].[Na+].[Na+],10048-95-0,312.01,AsHNa2O4,61460,
854,D-Lactic acid,C[C@H](C(=O)O)O,10326-41-7,90.08,C3H6O3,61503,ZINC4658562
855,Magnesium dioxide,[O-][O-].[Mg+2],14452-57-4,56.30,MgO2,61745,
856,Sepiolite,O.O[Si](=O)[O-].O[Si](=O)[O-].[O-][Si](=O)[O-].[Mg+2].[Mg+2],63800-37-3,296.89,H8Mg2O10Si3+4,61797,
857,Ammonium persulfate,[NH4+].[NH4+].[O-]S(=O)(=O)OOS(=O)(=O)[O-],7727-54-0,228.20,(NH4)2S2O8,62648,
858,Potassium phosphate,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],7778-53-2,212.27,K3PO4,62657,
859,Propranolol hydrochloride,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl,318-98-9,295.80,C16H22ClNO2,62882,
860,L-Norgestrel,CC[C@@]12CC[C@@H]3[C@@H]([C@H]1CC[C@@]2(C#C)O)CCC4=CC(=O)CC[C@@H]34,797-64-8,312.45,C21H28O2,62929,ZINC968375
861,Methaqualone hydrochloride,CC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C.Cl,2915-01--7,286.76,C16H15ClN2O,63196,
862,2-[(5-Nitro-2-furanyl)methylene]-hydrazinecarboxamide,C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N,59-87-0,198.14,C6H6N4O4,1839,ZINC897369
