,Accession Number,Name,CAS
1875,T3D2200,"1,3,4,7-Tetrachlorodibenzofuran",70648-16-7
1876,T3D2201,"1,3,4,8-Tetrachlorodibenzofuran",92341-04-3
1877,T3D2203,"2,3,4,7,9-Pentachlorodibenzofuran",70648-21-4
1878,T3D2204,"1,3,6,7-Tetrachlorodibenzofuran",57117-36-9
1879,T3D2205,"1,3,6,8-Tetrachlorodibenzofuran",71998-72-6
1880,T3D2206,"1,3,6,9-Tetrachlorodibenzofuran",83690-98-6
1881,T3D2207,"1,3,7,8-Tetrachlorodibenzofuran",57117-35-8
1882,T3D2208,"1,3,7,9-Tetrachlorodibenzofuran",64560-17-4
1883,T3D2209,"1,3,7-Trichlorodibenzofuran",64560-16-3
1884,T3D2210,"1,3-Dichlorodibenzofuran",94538-00-8
1885,T3D2211,"1,4,6,7-Tetrachlorodibenzofuran",66794-59-0
1886,T3D2212,"1,4,6,8-Tetrachlorodibenzofuran",82911-58-8
1887,T3D2213,"1,4,7,8-Tetrachlorodibenzofuran",83704-29-4
1888,T3D2214,"1,4,8-Trichlorodibenzofuran",64560-14-1
1889,T3D2215,1-Chlorodibenzofuran,42934-53-2
1890,T3D2225,2-(Chloroacetyl)dibenzofuran,13067-90-8
1891,T3D2228,"2,3,4,6,7,8-Hexabromodibenzofuran",161880-50-8
1892,T3D2229,"2,3,4,6,7,8-Hexachlorodibenzofuran",60851-34-5
1893,T3D2230,"2,3,4,6,7-Pentabromodibenzofuran",124388-77-8
1894,T3D2231,"2,3,4,6,7-Pentachlorodibenzofuran",57117-43-8
1895,T3D2232,"2,3,4,6,8-Pentachlorodibenzofuran",67481-22-5
1896,T3D2233,"2,3,4,6-Tetrachlorodibenzofuran",83704-30-7
1897,T3D2234,"2,3,4,7,8-Pentabromodibenzofuran",131166-92-2
1898,T3D2236,"2,3,4,7-Tetrachlorodibenzofuran",83704-31-8
1899,T3D2237,"2,3,4,8-Tetrachlorodibenzofuran",83704-32-9
1900,T3D2238,"2,3,4-Trichlorodibenzofuran",57117-34-7
1901,T3D2239,"2,3,6,7-Tetrachlorodibenzofuran",57117-39-2
1902,T3D2240,"2,3,6,8-Tetrachlorodibenzofuran",57117-37-0
1903,T3D2241,"2,3,6-Trichlordibenzofuran",57117-33-6
1904,T3D2242,"2,3,7,8-Tetrabromodibenzofuran",67733-57-7
1905,T3D2244,"2,3,7-Trichlorodibenzofuran",58802-17-8
1906,T3D2245,"2,3,8-Trichlorodibenzofuran",57117-32-5
1907,T3D2247,"2,4,6,7-Tetrachlorodibenzofuran",57117-38-1
1908,T3D2248,"2,4,6,8-Tetrachlorodibenzofuran",58802-19-0
1909,T3D2249,"2,4,6-Trichlorodibenzofuran",58802-14-5
1910,T3D2250,"2,4,8-Trichlorodibenzofuran",54589-71-8
1911,T3D2251,"2,4-Dichlorodibenzofuran",24478-74-8
1912,T3D2257,"2,6-Dichlorodibenzofuran",60390-27-4
1913,T3D2258,"2,7-Dibromodibenzofuran",65489-80-7
1914,T3D2263,"2,8-Dibromodibenzofuran",10016-52-1
1915,T3D2264,"2,8-Dichlorodibenzofuran",5409-83-6
1916,T3D2266,2-Bromodibenzofuran,86-76-0
1917,T3D2268,2-Chlorodibenzofuran,51230-49-0
1918,T3D2279,"3,4,6,7-Tetrachlorodibenzofuran",57117-40-5
1919,T3D2281,"3,6-Dichlorodibenzofuran",74918-40-4
1920,T3D2282,"3,7-Dichlorodibenzofuran",58802-21-4
1921,T3D2286,3-Chlorodibenzofuran,25074-67-3
1922,T3D2306,"4-Bromo-2,3,7,8-tetrachlorodibenzofuran",115656-08-1
1923,T3D2307,4-Chlorodibenzofuran,74992-96-4
1924,T3D2324,"6-Cyclohexyl-1,3,8-trichlorodibenzofuran",125652-15-5
1925,T3D2325,"6-Methyl-1,3,8-trichlorodibenzofuran",118174-38-2
1926,T3D2326,"6-Methyl-8-iodo-1,3-dichlordibenzofuran",132194-83-3
1927,T3D2327,"6-Nitro-1,3,8-trichlorodibenzofuran",125652-17-7
1928,T3D2328,"6-tert-Butyl-1,3,8-trichlorodibenzofuran",125652-12-2
1929,T3D2329,"7,8-Dichloro-2-dibenzofuranol",74423-77-1
1930,T3D2330,"8-Bromo-2,3,4-trichlorodibenzofuran",103124-72-7
1931,T3D2331,8-Chloro-3-dibenzofuranol,51596-39-5
1932,T3D2336,Bromodichlorodibenzofuran,107227-60-1
1933,T3D2338,Cannabielsoin,52025-76-0
1934,T3D2339,Cercosporamide,131436-22-1
1935,T3D2350,Dichloromethoxydibenzofuran,107819-07-8
1936,T3D2358,"1,2,3,4,6,7-Hexabromo-8,9-dichlorodibenzofuran",107207-36-3
1937,T3D2378,Taziprinone,79253-92-2
1938,T3D2384,Tribromodibenzofuran,103456-41-3
1939,T3D2403,Hexane,110-54-3
1940,T3D2404,2-Methylpentane,107-83-5
1941,T3D2405,3-Methylpentane,96-14-0
1942,T3D2406,"2,3-Dimethylbutane",79-29-8
1943,T3D2407,"2,2-Dimethylbutane",75-83-2
1944,T3D2408,Boron phosphide,20205-91-8
1945,T3D2409,Calcium phosphide,1305-99-3
1946,T3D2410,Gallium phosphide,12063-98-8
1947,T3D2411,Indium phosphide,22398-80-7
1948,T3D2412,Iron phosphide,12023-53-9
1949,T3D2413,Sodium phosphide,12058-85-4
1950,T3D2414,Titanium(III) phosphide,12037-65-9
1951,T3D2415,"1,4-Dichlorodibenzofuran",94538-01-9
1952,T3D2416,"1,6-Dichlorodibenzofuran",74992-97-5
1953,T3D2417,"1,7-Dichlorodibenzofuran",94538-02-0
1954,T3D2418,"1,8-Dichlorodibenzofuran",81638-37-1
1955,T3D2419,"1,9-Dichlorodibenzofuran",70648-14-5
1956,T3D2420,"2,3-Dichlorodibenzofuran",64126-86-9
1957,T3D2421,"2,7-Dichlorodibenzofuran",74992-98-6
1958,T3D2422,"3,4-Dichlorodibenzofuran",94570-83-9
1959,T3D2423,"1,2,3-Trichlorodibenzofuran",83636-47-9
1960,T3D2424,"1,2,6-Trichlorodibenzofuran",64560-15-2
1961,T3D2425,"1,2,7-Trichlorodibenzofuran",83704-37-4
1962,T3D2426,"1,2,8-Trichlorodibenzofuran",83704-34-1
1963,T3D2427,"1,2,9-Trichlorodibenzofuran",83704-38-5
1964,T3D2428,"1,3,4-Trichlorodibenzofuran",82911-61-3
1965,T3D2429,"1,3,6-Trichlorodibenzofuran",83704-39-6
1966,T3D2430,"1,3,8-Trichlorodibenzofuran",76621-12-0
1967,T3D2431,"1,3,9-Trichlorodibenzofuran",83704-40-9
1968,T3D2432,"1,4,6-Trichlorodibenzofuran",82911-60-2
1969,T3D2433,"1,4,7-Trichlorodibenzofuran",83704-41-0
1970,T3D2434,"1,4,9-Trichlorodibenzofuran",70648-13-4
1971,T3D2435,"2,3,9-Trichlorodibenzofuran",58802-18-9
1972,T3D2436,"2,4,7-Trichlorodibenzofuran",83704-42-1
1973,T3D2437,"2,4,9-Trichlorodibenzofuran",82911-59-9
1974,T3D2438,"3,4,6-Trichlorodibenzofuran",83704-43-2
1975,T3D2439,"3,4,7-Trichlorodibenzofuran",83704-44-3
1976,T3D2440,"3,4,8-Trichlorodibenzofuran",83704-45-4
1977,T3D2441,"3,4,9-Trichlorodibenzofuran",83704-46-5
1978,T3D2442,"1,2,4,9-Tetrachlorodibenzofuran",83704-24-9
1979,T3D2443,"1,2,6,9-Tetrachlorodibenzofuran",70648-18-9
1980,T3D2444,"1,2,8,9-Tetrachlorodibenzofuran",70648-22-5
1981,T3D2445,"1,3,4,9-Tetrachlorodibenzofuran",83704-28-3
1982,T3D2446,"1,4,6,9-Tetrachlorodibenzofuran",70648-19-0
1983,T3D2447,"2,3,4,9-Tetrachlorodibenzofuran",83704-33-0
1984,T3D2450,alpha-Amanitin,23109-05-9
1985,T3D2451,Orellanine,37338-80-0
1986,T3D2452,"(2S,4R,5S)-Muscarine",300-54-9
1987,T3D2453,Gyromitrin,16568-02-8
1988,T3D2454,L-Coprine,58919-61-2
1989,T3D2455,Ibotenic acid,2552-55-8
1990,T3D2456,Muscimol,18174-72-6
1991,T3D2457,Psilocybin,520-52-5
1992,T3D2458,Psilocin,520-53-6
1993,T3D2460,Ergotamine,113-15-5
1994,T3D2462,Palytoxin,77734-91-9
1995,T3D2463,Ciguatoxin 1,11050-21-8
1996,T3D2464,Ciguatoxin 2,142185-85-1
1997,T3D2465,54-Deoxyciguatoxin,139341-09-6
1998,T3D2466,Ciguatoxin 4B,123676-76-6
1999,T3D2467,Phalloidin,17466-45-4
2000,T3D2468,Prophalloin,67739-84-8
2001,T3D2469,Phalloin,28227-92-1
2002,T3D2470,Phallisin,19774-69-7
2003,T3D2471,Phallacidin,26645-35-2
2004,T3D2472,Phallacin,53568-40-4
2005,T3D2473,Phallisacin,58286-46-7
2006,T3D2474,Naftidrofuryl,31329-57-4
2007,T3D2477,Insulin,11061-68-0
2008,T3D2478,Levofloxacin,100986-85-4
2009,T3D2479,Vindesine,53643-48-4
2010,T3D2480,Amitriptyline,50-48-6
2011,T3D2481,Ricin,9009-86-3
2012,T3D2482,Dapsone,80-08-0
2013,T3D2483,Glipizide,29094-61-9
2014,T3D2484,Tetrodotoxin,4368-28-9
2015,T3D2486,Methotrexate,59-05-2
2016,T3D2487,Apamin (Apis mellifera),24345-16-2
2017,T3D2489,Philanthotoxin,77108-00-0
2018,T3D2490,alpha-Pompilidotoxin,202075-91-0
2019,T3D2491,beta-Pompilidotoxin,216064-36-7
2020,T3D2492,Holocyclotoxin,88254-04-0
2021,T3D2493,Poneratoxin,137084-94-7
2022,T3D2494,omega-Agatoxin,145017-83-0
2023,T3D2495,"Atracotoxin, omega- (Hadronyche versuta)",193981-10-1
2024,T3D2496,Versutoxin,114264-83-4
2025,T3D2497,Robustoxin,91728-12-0
2026,T3D2498,Grammotoxin,152617-90-8
2027,T3D2499,Huwentoxin,526224-73-7
2028,T3D2500,alpha-Latrotoxin,65988-34-3
2029,T3D2501,Phrixotoxin,880886-00-0 or 221872-97-5
2030,T3D2502,Stromatoxin,1262235-00-6
2031,T3D2503,Phoneutriatoxin,
2032,T3D2505,Heteropodatoxin,189120-72-7
2033,T3D2506,Agitoxin,155646-21-2
2034,T3D2507,Charybdotoxin,95751-30-7
2035,T3D2508,Chlorotoxin ,163515-35-3
2036,T3D2509,Cobatoxin,211688-17-4
2037,T3D2510,alpha-Cobratoxin,769933-79-1
2038,T3D2511,kappa-Hefutoxin,478621-50-0
2039,T3D2512,Iberiotoxin,129203-60-7
2040,T3D2513,Imperatoxin-A,172451-37-5
2041,T3D2514,Imperatoxin-1,
2042,T3D2515,Kaliotoxin,145199-73-1
2043,T3D2516,Kaliotoxin-1,150769-72-5
2044,T3D2517,Kaliotoxin-2,159605-22-8
2045,T3D2518,Kaliotoxin-3,223246-26-2
2046,T3D2519,Kurtoxin,820959-57-7
2047,T3D2520,Margatoxin,145808-47-5
2048,T3D2521,Maurotoxin,188240-41-7
2049,T3D2522,Noxiustoxin,85205-49-8
2050,T3D2523,Scyllatoxin,142948-19-4
2051,T3D2524,Slotoxin,144026-79-9
2052,T3D2525,Tamapin,508220-81-3
2053,T3D2526,Tityustoxin (Tityus serrulatus ),39465-37-7
2054,T3D2527,Batrachotoxin,23509-16-2
2055,T3D2528,Histrionicotoxin,34272-51-0
2056,T3D2529,Pumiliotoxin,73376-35-9
2057,T3D2530,Epibatidine,140111-52-0
2058,T3D2531,Allopumiliotoxin,73376-38-2
2059,T3D2532,Arenobufagin,464-74-4
2060,T3D2534,Bufotenin,487-93-4
2061,T3D2535,Cinobufagin,470-37-1
2062,T3D2536,Marinobufagenin,470-42-8
2063,T3D2537,alpha-Bungarotoxin,11032-79-4
2064,T3D2538,beta-Bungarotoxin,12778-32-4
2065,T3D2539,Calciseptine ,134710-25-1
2066,T3D2540,Calcicludine,178037-96-2
2067,T3D2541,Cardiotoxin (Naja atra),155808-00-7
2068,T3D2542,Crotamine ,58740-15-1
2069,T3D2543,Crotoxin ,9007-40-3
2070,T3D2544,Convulxin,37206-04-5
2071,T3D2545,Dendrotoxin (Dendroaspis polylepis polylepis),119128-61-9
2072,T3D2546,Dendrotoxin (Dendroaspis angusticeps),74504-53-3
2073,T3D2547,Taicatoxin ,112154-17-3
2074,T3D2549,Eledoisin (Eledone cirrhosa),69-25-0
2075,T3D2550,Onchidal,67656-42-2
2076,T3D2551,Saxitoxin,35523-89-8
2077,T3D2552,Sticholysin,269658-04-0; 183449-91-4
2078,T3D2553,4-Aminopyridine ,504-24-5
2079,T3D2554,Baclofen,1134-47-0
2080,T3D2555,Quetiapine,111974-69-7
2081,T3D2556,Flecainide,54143-55-4
2082,T3D2557,Disulfiram,97-77-8
2083,T3D2558,Valproic acid,99-66-1
2084,T3D2560,Amantadine,768-94-5
2085,T3D2561,Chloroquine,54-05-7
2086,T3D2562,Gamma-Butyrolactone,96-48-0
2087,T3D2563,Carbon dioxide,124-38-9
2088,T3D2564,Triazolam,28911-01-5
2089,T3D2565,Promazine,58-40-2
2090,T3D2566,Heparin,9005-49-6
2091,T3D2567,Warfarin,81-81-2
2092,T3D2568,Ceftriaxone,73384-59-5
2093,T3D2570,Lamotrigine,84057-84-1
2094,T3D2571,Acetaminophen,103-90-2
2095,T3D2573,Acrylamide,1979-06-01
2096,T3D2575,Tramadol,27203-92-5
2097,T3D2576,Haloperidol,52-86-8
2098,T3D2577,Varenicline,249296-44-4
2099,T3D2578,Fluoroacetamide,640-19-7
2100,T3D2580,Mastoparan (Vespa tropica),72093-21-1
2101,T3D2581,Hongotoxin,203526-59-4
2102,T3D2582,Maurocalcin ,269745-22-4
2103,T3D2584,Myotoxin (Crotalus viridis viridis),132821-30-8
2104,T3D2585,Taipoxin,52019-39-3
2105,T3D2587,Maitotoxin,59392-53-9
2106,T3D2589,Anthopleurin (Anthopleura xanthogrammica),600880-63-9
2107,T3D2590,Calitoxin,118354-83-9
2108,T3D2592,Edema factor,921236-86-4
2109,T3D2593,Protective antigen,643772-15-0
2110,T3D2594,Lethal factor,159233-86-0
2111,T3D2595,Pertussis toxin,70323-44-3
2112,T3D2596,Bifunctional hemolysin/adenylate cyclase (Bordetella pertussis),566070-83-5
2113,T3D2597,Toxin A (Clostridium difficile),
2114,T3D2598,Toxin B (Clostridium difficile),
2115,T3D2599,Alpha-toxin (Clostridium perfringens),
2116,T3D2600,Heat-labile enterotoxin (Escherichia coli),
2117,T3D2601,Perfringolysin O,71329-60-7
2118,T3D2602,Tetanus toxin,676570-37-9
2119,T3D2605,Listeriolysin O,112627-82-4
2120,T3D2606,Dermonecrotic toxin (Pasteurella multocida),
2121,T3D2607,Exotoxin A (Pseudomonas aeruginosa),
2122,T3D2609,Shiga toxin subunit A,
2123,T3D2610,Alpha-hemolysin,94716-94-6
2124,T3D2611,Beta-hemolysin,143257-99-2
2125,T3D2612,Delta-hemolysin,74838-20-3
2126,T3D2613,Leukocidin S,
2127,T3D2614,Leukocidin F,147096-70-6
2128,T3D2618,Enterotoxin type A,
2129,T3D2619,Enterotoxin type B,
2130,T3D2620,Pneumolysin,
2131,T3D2622,Streptolysin O (Streptococcus pyogenes),98072-47-0
2132,T3D2623,Cholera toxin,9012-63-9
2133,T3D2624,Melittin (Apis mellifera),20449-79-0
2134,T3D2625,Lopap ,
2135,T3D2626,alpha-Agatoxin,128549-96-2
2136,T3D2627,mu-Agatoxin,120500-28-9
2137,T3D2628,kappa-Atracotoxin (Hadronyche versuta),
2138,T3D2629,Hanatoxin,170780-01-5
2139,T3D2630,Sphingomyelinase D (Loxosceles intermedia),9031-54-3
2140,T3D2631,Heteroscodratoxin,
2141,T3D2633,Acanthophin,126601-49-8
2142,T3D2635,Erabutoxin,59536-69-5
2143,T3D2636,Disintegrin echistatin (Echis carinatus),
2144,T3D2637,Nigroxin,9001-84-7
2145,T3D2638,Notexin,37233-96-4
2146,T3D2639,Ohanin,
2147,T3D2640,Pseudechetoxin,
2148,T3D2642,Viperotoxin,
2149,T3D2643,Vipoxin,
2150,T3D2645,Brevetoxin,98112-41-5
2151,T3D2646,Hydralysin (Chlorohydra viridissima),
2152,T3D2647,Stonustoxin,
2153,T3D2648,Neoverrucotoxin,
2154,T3D2649,Box jellyfish toxin (Chironex fleckeri),
2155,T3D2656,omega-Conotoxin (Conus striatus),
2156,T3D2657,alpha-Conotoxin (Conus geographus),
2157,T3D2658,delta-Conotoxin (Conus striatus),
2158,T3D2659,kappa-Conotoxin (Conus purpurascens),
2159,T3D2660,mu-Conotoxin (Conus purpurascens),
2160,T3D2661,Contryphan (Conus ventricosus),
2161,T3D2663,Clodronate,10596-23-3
2162,T3D2665,Pamidronate,40391-99-9
2163,T3D2666,Alendronic acid,66376-36-1
2164,T3D2667,Ibandronate,114084-78-5
2165,T3D2668,Risedronate,105462-24-6
2166,T3D2669,Zoledronate,118072-93-8
2167,T3D2670,Digoxin,20830-75-5
2168,T3D2671,Rituximab,174722-31-7
2169,T3D2672,Azaspiracid,214899-21-5
2170,T3D2673,Zaleplon,151319-34-5
2171,T3D2674,Oxaliplatin,61825-94-3
2172,T3D2675,Linezolid,165800-03-3
2173,T3D2676,Methadone,76-99-3
2174,T3D2677,Aripiprazole,129722-12-9
2175,T3D2679,Nitrofurantoin,67-20-9
2176,T3D2680,Rosuvastatin,287714-41-4
2177,T3D2690,Biotin,58-85-5
2178,T3D2692,Calcitriol,32222-06-3
2179,T3D2694,Calcidiol,19356-17-3
2180,T3D2696,Thiamine,59-43-8
2181,T3D2697,Ergocalciferol,50-14-6
2182,T3D2698,Folic acid,59-30-3
2183,T3D2699,Vitamin A,68-26-8
2184,T3D2700,Alpha-Tocopherol,59-02-9
2185,T3D2701,Pyridoxine,65-23-6
2186,T3D2702,(R)-lipoic acid,62-46-4
2187,T3D2703,Cholecalciferol,67-97-0
2188,T3D2704,Menadione,58-27-5
2189,T3D2705,Fluvoxamine,54739-18-3
2190,T3D2706,Amphetamine,300-62-9
2191,T3D2707,Lorazepam,846-49-1
2192,T3D2708,Ethchlorvynol,113-18-8
2193,T3D2709,Phentermine,122-09-8
2194,T3D2711,Fluconazole,86386-73-4
2195,T3D2712,Caffeine,58-08-2
2196,T3D2713,Reserpine,50-55-5
2197,T3D2715,Citalopram,59729-33-8
2198,T3D2717,Enflurane,13838-16-9
2199,T3D2719,Temazepam,846-50-4
2200,T3D2720,Reboxetine,98769-81-4
2201,T3D2721,Butabarbital,125-40-6
2202,T3D2722,Oxiconazole,64211-46-7
2203,T3D2724,Benzatropine,86-13-5
2204,T3D2726,Methysergide,361-37-5
2205,T3D2727,Cabergoline,81409-90-7
2206,T3D2728,Phenytoin,57-41-0
2207,T3D2729,Clotrimazole,23593-75-1
2208,T3D2731,Ropinirole,91374-21-9
2209,T3D2733,Topiramate,97240-79-4
2210,T3D2735,Lidocaine,137-58-6
2211,T3D2736,Venlafaxine,93413-69-5
2212,T3D2737,Atomoxetine,82248-59-7
2213,T3D2738,Bleomycin,11056-06-7
2214,T3D2740,Morphine,57-27-2
2215,T3D2741,Ropivacaine,84057-95-4
2216,T3D2742,Bupivacaine,2180-92-9
2217,T3D2743,Mitomycin,50-07-7
2218,T3D2745,Pentobarbital,76-74-4
2219,T3D2748,Zolmitriptan,139264-17-8
2220,T3D2749,Codeine,76-57-3
2221,T3D2750,Dihydroergotamine,6190-39-2
2222,T3D2751,Tolcapone,134308-13-7
2223,T3D2752,Hydromorphone,466-99-9
2224,T3D2753,Indomethacin,53-86-1
2225,T3D2754,Olanzapine,132539-06-1
2226,T3D2755,Metixene,4969-02-2
2227,T3D2756,Cetirizine,83881-51-0
2228,T3D2757,Terfenadine,50679-08-8
2229,T3D2758,Diltiazem,42399-41-7
2230,T3D2759,Protriptyline,438-60-8
2231,T3D2760,Trimethadione,127-48-0
2232,T3D2763,Anidulafungin,166663-25-8
2233,T3D2764,Clozapine,5786-21-0
2234,T3D2767,Mirtazapine,61337-67-5
2235,T3D2770,Trihexyphenidyl,144-11-6
2236,T3D2771,Dexrazoxane,24584-09-6
2237,T3D2772,Tacrine,321-64-2
2238,T3D2773,Procyclidine,77-37-2
2239,T3D2777,Alprazolam,28981-97-7
2240,T3D2779,Loxapine,1977-10-2
2241,T3D2783,Pramipexole,104632-26-0
2242,T3D2784,Secobarbital,76-73-3
2243,T3D2786,Methylphenidate,113-45-1
2244,T3D2787,Zolpidem,82626-48-0
2245,T3D2788,Streptozocin,18883-66-4
2246,T3D2789,Prochlorperazine,58-38-8
2247,T3D2790,Cyproheptadine,129-03-3
2248,T3D2791,Epirubicin,56420-45-2
2249,T3D2795,Meperidine,57-42-1
2250,T3D2796,Loratadine,79794-75-5
2251,T3D2797,Imipramine,50-49-7
2252,T3D2798,Metharbital,50-11-3
2253,T3D2800,Quinine,130-95-0
2254,T3D2801,delta9-Tetrahydrocannabinol,1972-08-3
2255,T3D2802,Fluoxetine,54910-89-3
2256,T3D2803,Methohexital,151-83-7
2257,T3D2804,Chlordiazepoxide,58-25-3
2258,T3D2805,Duloxetine,136434-34-9
2259,T3D2806,Chlorpromazine,50-53-3
2260,T3D2807,Buspirone,36505-84-7
2261,T3D2808,Entacapone,130929-57-6
2262,T3D2809,Oxycodone,76-42-6
2263,T3D2810,Cimetidine,51481-61-9
2264,T3D2813,Triflupromazine,146-54-3
2265,T3D2815,Dextromethorphan,125-71-3
2266,T3D2818,Nortriptyline,72-69-5
2267,T3D2819,Amoxapine,14028-44-5
2268,T3D2820,Pyridostigmine,155-97-5
2269,T3D2822,Pentostatin,53910-25-1
2270,T3D2823,Hydroxyzine,68-88-2
2271,T3D2825,Benzthiazide,91-33-8
2272,T3D2826,Carbamazepine,298-46-4
2273,T3D2829,Clonidine,4205-90-7
2274,T3D2830,Mazindol,22232-71-9
2275,T3D2832,L-Carnitine,541-15-1
2276,T3D2834,Ethosuximide,77-67-8
2277,T3D2835,Thiopental,76-75-5
2278,T3D2836,Cisapride,81098-60-4
2279,T3D2837,Butorphanol,42408-82-2
2280,T3D2838,Rifabutin,72559-06-9
2281,T3D2839,Paramethadione,115-67-3
2282,T3D2840,Fluphenazine,69-23-8
2283,T3D2841,Nicotinic acid,59-67-6
2284,T3D2842,Clorazepate,23887-31-2
2285,T3D2844,Astemizole,68844-77-9
2286,T3D2847,Nystatin,1400-61-9
2287,T3D2848,Propoxyphene,469-62-5
2288,T3D2849,Pteroyl-D-glutamic acid,1492-18-8
2289,T3D2850,Pentazocine,359-83-1
2290,T3D2851,Magnesium Sulfate,7487-88-9
2291,T3D2852,Trazodone,19794-93-5
2292,T3D2853,Acamprosate,77337-76-9
2293,T3D2855,Nafarelin,76932-56-4
2294,T3D2856,Sumatriptan,103628-46-2
2295,T3D2857,Galantamine,357-70-0
2296,T3D2858,Thioridazine,50-52-2
2297,T3D2859,Midazolam,59467-70-8
2298,T3D2860,Flurazepam,17617-23-1
2299,T3D2861,Daunorubicin,20830-81-3
2300,T3D2862,Tizanidine,51322-75-9
2301,T3D2863,Amprenavir,161814-49-9
2302,T3D2864,Naltrexone,16590-41-3
2303,T3D2865,Sufentanil,56030-54-7
2304,T3D2866,Flurbiprofen,5104-49-4
2305,T3D2867,Apomorphine,41372-20-7
2306,T3D2868,Paroxetine,61869-08-7
2307,T3D2869,Procaine,59-46-1
2308,T3D2870,Trimipramine,739-71-9
2309,T3D2871,Risperidone,106266-06-2
2310,T3D2873,Esomeprazole,161796-78-7
2311,T3D2874,Meclizine,569-65-3
2312,T3D2875,Riluzole,1744-22-5
2313,T3D2876,Modafinil,68693-11-8
2314,T3D2877,Scopolamine,51-34-3
2315,T3D2881,Tranylcypromine,155-09-9
2316,T3D2882,Isoflurane,26675-46-7
2317,T3D2883,Ethotoin,86-35-1
2318,T3D2884,9-cis-Retinoic acid,302-79-4
2319,T3D2886,Olopatadine,113806-05-6
2320,T3D2887,Oxcarbazepine,28721-07-5
2321,T3D2888,Propiomazine,362-29-8
2322,T3D2889,Phenelzine,51-71-8
2323,T3D2892,Sulfasalazine,599-79-1
2324,T3D2893,Halazepam,23092-17-3
2325,T3D2894,Alfentanil,71195-58-9
2326,T3D2896,Proparacaine,499-67-2
2327,T3D2897,Biperiden,514-65-8
2328,T3D2898,Fentanyl,437-38-7
2329,T3D2899,Meloxicam,71125-38-7
2330,T3D2900,Propofol,2078-54-8
2331,T3D2903,Diazepam,439-14-5
2332,T3D2904,Phenmetrazine,134-49-6
2333,T3D2905,Trifluoperazine,117-89-5
2334,T3D2907,Mifepristone,84371-65-3
2335,T3D2908,Progabide,62666-20-0
2336,T3D2909,Oxazepam,604-75-1
2337,T3D2910,Donepezil,120014-06-4
2338,T3D2911,Nalbuphine,20594-83-6
2339,T3D2913,Perphenazine,58-39-9
2340,T3D2914,Levorphanol,77-07-6
2341,T3D2917,Drostanolone,58-19-5
2342,T3D2918,Diflunisal,22494-42-4
2343,T3D2919,Benzphetamine,156-08-1
2344,T3D2920,Flupenthixol,2709-56-0
2345,T3D2921,Sirolimus,53123-88-9
2346,T3D2924,Methdilazine,1982-37-2
2347,T3D2925,Ondansetron,99614-02-5
2348,T3D2926,Tiagabine,115103-54-3
2349,T3D2927,Cocaine,50-36-2
2350,T3D2928,Zonisamide,68291-97-4
2351,T3D2929,Anileridine,144-14-9
2352,T3D2931,Almotriptan,181183-52-8
2353,T3D2932,Buprenorphine,52485-79-7
2354,T3D2933,Mesoridazine,5588-33-0
2355,T3D2934,Maprotiline,10262-69-8
2356,T3D2935,Diethylpropion,90-84-6
2357,T3D2936,Aspirin,50-78-2
2358,T3D2937,Felbamate,25451-15-4
2359,T3D2938,Fexofenadine,83799-24-0
2360,T3D2939,Naratriptan,121679-13-8
2361,T3D2940,Rizatriptan,145202-66-0
2362,T3D2941,Hydrocodone,125-29-1
2363,T3D2942,Mepivacaine,96-88-8
2364,T3D2951,Neomycin,1404-04-2
2365,T3D2952,Gabapentin,60142-96-3
2366,T3D2953,Doxorubicin,23214-92-8
2367,T3D2954,Frovatriptan,158747-02-5
2368,T3D2955,Levobupivacaine,27262-47-1
2369,T3D2956,Tioconazole,65899-73-2
2370,T3D2957,Balsalazide,80573-04-2
2371,T3D2958,Bethanechol,674-38-4
2372,T3D2959,Phytonadione,84-80-0
2373,T3D2960,Mycophenolic acid,24280-93-1
2374,T3D2961,Ketoconazole,65277-42-1
2375,T3D2962,Methoxyflurane,76-38-0
2376,T3D2963,Ethinamate,126-52-3
2377,T3D2964,Cerulenin,17397-89-6
2378,T3D2965,Selegiline,14611-51-9
2379,T3D2966,Carphenazine,2622-30-2
2380,T3D2967,Memantine,19982-08-2
2381,T3D2968,Gatifloxacin,112811-59-3
2382,T3D2969,Rifampin,13292-46-1
2383,T3D2970,Ibuprofen,15687-27-1
2384,T3D2972,Melatonin,73-31-4
2385,T3D2973,Clonazepam,1622-61-3
2386,T3D2974,Dihydrotachysterol,67-96-9
2387,T3D2975,Perhexiline,6621-47-2
2388,T3D2976,Diphenhydramine,58-73-1
2389,T3D2977,Vigabatrin,60643-86-9
2390,T3D2978,Diphenoxylate,915-30-0
2391,T3D2979,Pilocarpine,54-71-7
2392,T3D2980,Benzocaine,94-09-7
2393,T3D2982,Dimethyl sulfoxide,67-68-5
2394,T3D2983,Flucytosine,2022-85-7
2395,T3D2984,Pimozide,2062-78-4
2396,T3D2985,Sertraline,79617-96-2
2397,T3D2986,Sibutramine,106650-56-0
2398,T3D2987,Methyprylon,125-64-4
2399,T3D2988,Miconazole,22916-47-8
2400,T3D2989,Chlorpheniramine,132-22-9
2401,T3D2990,Phenacemide,63-98-9
2402,T3D2991,Ambenonium,7648-98-8
2403,T3D2992,Econazole,27220-47-9
2404,T3D2993,Doxepin,1668-19-5
2405,T3D2995,Nefazodone,83366-66-9
2406,T3D2996,Desipramine,50-47-5
