Stimulus,Description
319,"Oily-spicy, warm, balsamic and very tenacious odor."
320,"Rather sharp, fruit y odor, somewhat reminiscent of Strawberry."
321,".% eet-creamy, floral-balsamic tenacious odor. In dilution quite floral in the Sweet-Pea type, at higher concentrations it shows tendency of supplying spicy-warm notes."
322,"Floral-earthy, slightly mushroom-like odor (Champignon-like)."
323,"Ve~ faint, fatty odor. Probably odorless to most people when this ester is absolulel> pure."
324,"The odor is most frequently described as “Leek-like”, which - in the author’s opinion - is a more exact description than the older, still common “onion-like”."
325,"Soft, warm, herbaceous-rosy odor of moderate tenacity."
326,"Sweet-floral and tenacious Hyacinth-green odor,"
327,"Sweet, fruity-floral, slightly balsamic odor of moderate tenacity."
328,"Mild, Jasmin-type odor, floral-fruity, of considerable tenacity."
329,"Overall, it has little interest to the perfumer."
330,"Faint, but fresh-balsamic, slightly fatty odor."
331,"Mild, sweet, honey-floral odor, the honey note being almost imperceptible in pure material. In fact, a pure ester has an extremely faint odor."
332,"Peculiar warm, nutlike and fruity, deep- sweet and oily odor of excellent tenaci~y."
333,"Mild floral, somewhat Orris-like odor,"
334,"Fresh-floral, somewhat green odor, rather dry (compared to Dimethyl Benzyl carbinyl acetate ), and not as versatile, on account of the lack of sweetness."
335,"Faint, sweet and remotely floral odor. However, most commercial products seem to have a pronounced “Bitter Almond” note, probably deriving from impurities in this chemical."
336,"Heavy floral-earthy-mossy, “wet-green” odor, reminiscent of certain types of Rose. However, this ether is only pleasant smelling when properly diluted."
337,"Fruity-sweet odor with pronounced floral undertone, overall type Jasmin. Less sharp, and more fruity than the acetate."
338,"Powerful green vegetable type odor with considerable resemblance to the odor of raw stringbeans (or “Haricots-verts”). The warmherbaceous undertone is often accompanied by traces of a protein-like terminal note, possibly impurity-odor."
339,"Very faint, sweet-floral, slightly balsamic odor. This ester is, according to the judgment of some people (including perfumers) absolutely odorless, while others find it “’musky”’ of odor. Trace impurities can greatly influence the odor of this high-boiling chemical."
340,Practically odorless when pure.
341,"Very powerful Cress-odor, Watercress type, green-herbaceous, pungent."
342,The odor of this ester is very faint and uncharacteristic.
343,"Peculiar fungus-like, mushroom-type odor with a rosy undertone."
344,"Powerful fruity and somewhat musky, animal- like odor. The odor is less floral and more musky than that of the iso-valerate."
345,"Powerful, fruity -herbaceous odor with a slightly musky undertone, reminiscent of cured tobacco leaves."
346,"Powerful, sweet-medicinal-spicy odor, reminiscent of tanned leather, smoke and dry wood. In dilution reminiscent of the smokey - dry odor of Chinese tea"
347,"Pleasant, warm, sweet-spicy-balsamic odor, inevitably reminding the perfumer of Opopanax and “Oriental” fragrance types,"
348,"Sweet and very mild, delicately floral odor."
349,"Dry-camphoraceous, woody-peppery odor."
350,"Dry woody, slightly camphoraceous odor. Less peppery than dextro-Borneol."
351,"Camphoraceous odor, not very woody, and not at all peppery. Overall more Camphorlike than Borneol."
352,"Sweet herbaceous-piney odor with a balsamic undertone, Reminiscent of Pme Needles."
353,"Mild oily -piney, balsamic-camphoraceous odor, reminiscent of Spruce Needles or certain Pine .Needles. The odor is overall thinner than that of Bornyl acetate."
354,"Very faint, sweet-piney or balsamic-piney odor of considerable tenacity."
355,"Fruity-herbaceous, slightly woody-mossy odor, resembling the odor of herbal saps"
356,"Peculiar earthy-nutlike, camphoraceous fir-cone-like odor."
357,Somewhat green-earthy. yet refreshing odor with a pine-needle undenone.
358,"Green-earthy, herbaceous-camphoraceous odor, more piney than that of the Bornyl formate, and more camphor-like, less nutlike."
359,The commercial product has an extremely tenacious sweet-w oody and slightlj musky odor with considerable resemblance to Sandalwood.
360,"The pure ester has very little odor, but could be used as a fixative."
361,"Warm-herbaceous odor, less piney and more Rosemary -Lanvandin-like than the acetate. Slightly fruity topnote. Helpful in building up Juniper-Cypress-like notes for Men’s fragrances."
362,"Sweeter, fruitier and less harsh than the acetate. The turpentine odor type is still there, but it is softer and combined with almost Lavender-like herbaceous notes."
363,"Very mild, delicately sweet-powdery odor of considerable tenacity."
364,"Fruity -herbaceous-camphoraceous odor, a herbal Pine type."
365,"this ester has, in the author’s opinion, definitely an odor of its own, warmherbaceous, slightly earthy-green,"
366,"Its odor is similar to that of the iso-valerate, but the ester is less stable than the iso-valerate, and therefore not preferred."
367,"Herbaceous-camphoraceous, warm and slightly green-woody odor."
368,"Peculiar warm-terpeney odor, remotely reminiscent of Pinus Pumilio or Juniperberry, also reminiscent of Lemon (terpenes)."
369,"Pungent-sweet, gassy-floral odor, reminiscen~ of Hyacinth in extreme dilution. Slightly softer than the odor of omega-Bromostyrol."
370,"Very powerful, pungent-floral and somewhat gassy odor, in extreme dilution reminiscent of Hyacinth, with emphasis of the greengassy pungency and very heavy sweetness."
371,"Sweet-ethereal, nauseating odor, perceptible"
372,"Powerful, sweet-gassy, diffusive odor, in low concentration sweet and almost floral"
373,"Fresh, green-floral, delicately woody and quite tenacious odor."
374,"Sweet-floral, slightly woody and wineywaxy odor of good tenacity."
375,"Powerful, herbaceous-floral odor of rather poor tenacity."
376,"Intensely sweet, but also pungent-herbaceous- balsamic odor resembling the odor of Anise and Fennel, but with emphasis on the woody -herbaceous notes."
377,"Sweet and delicate, fresh-green, mildly floral and woody odor of moderate tenacity,"
378,"Powerful and diffusive, gassy-green odor in dilution more foliage-green or vegetable green with an “earthy” bitterness, yet introducing a distinct sweetness of floral and also Firbalsam character,"
379,
380,
381,"Very diffusive, ethereal-fruity, pungent odor, reminiscent of many kinds of (ripe and overripe) fruit. Very poor tenacity. The odor is often described as resembling that of Pear, Banana, Strawberry, etc. but it may be closer to Pear than to any other single fruit."
382,"Very diffusive, ethereal odor resembling Rum (“fermented” odor) with a distinct fruity note."
383,"Sweet-winey, brandy like, “fermented-fruit”- like odor. "
384,"The odor is somewhat fresher, not as “fermented “’as that of the n-But yiester."
385,"The odor resembles that of para-Methyl acetophenone, but is somewhat milder, more refined, subdued. The character is more woody-hay-like, warm and quite tenacious."
386,"Powerful, very sweet, balsamic-floral, discretely herbaceous odor of moderate tenacity."
387,"Penetrating oily-green, vegetable-and-foliage type odor, in high dilution reminiscent of the odor of raw beans, green beans, etc., also of the odor of raw potatoes."
388,".Mild ‘“fuseI’’-like odor, more volatile and more choking than fusel oil itself. Although somewhat winey in character, its odor is really nondescript, rather .-chemical”."
389,"Choking, cough-provoking odor unless diluted; then rather mild, chemical, sweet, yet somewhat harsh."
390,"Oily -vinous odor, sweeter than that of the n-primary-Butanol, and not as “fuseI-oil ““-like."
391,"Camphoraceous and somewhat “mint) ““ odor, the dryness being characteristic and different from the other isomers."
392,"Powerful, woody-green somewhat oily odor, reminiscent of fresh woodsap and bark. At proper dilution, the woody notes become more minty-earthy, root-like, dry."
393,pronounced camphoraceous odor
394,"Warm-herbaceous, winey odor with distinct caramellic undertone."
395,"Fresh-herbaceous, winey-fruity odor, less warm, more fruity than the odor of the n-Butylester."
396,"Very faint, sweet and nondescript-floral odor, reminiscent of Mimosa, Cassie, and of the “dryout’’-notes of heavy floral fragrances, e.g. Ylang-Ylang. It has good tenacity, but lacks character."
397,"Faintly vinous, fruity-sweet odor with a rather heavy woody-floral undertone. It is characteristic of many odor descriptions of this type, that [he word “Mimosa” or the word ‘“Banana” appears."
398,"Faint, but heavy-woody-floral odor with an almost camphoraceous dryness. It is the least sweet of the three Butylanisates mentioned in this work."
399,"Mild, sweet-fruity-floral odor including the inevitable Orangeblossom theme, but overall flat and not as fresh in its type as the iso- Butylester."
400,"Renounced fruity, very sweet and deep (warm) odor, yet fresh and with only a faintly floral undertone."
401,"Warm-herbaceous, almost spicy odor of considerable tenacity."
402,Very mild floral-balsamic odor with woodyspicy undertone.
403,"Weak, but fresh and pleasant, tenacious orrisy odor with green-rosy undertones, less balsamic than the n-Butylester."
404,"Peculiar camphoraceous-earthy, aromatic odor, remotely reminiscent of the odor of Carrot seed."
405,"Peculiar woody odor, often described as reminiscent of Sandalwood (or burning Sandalwood) and therefore suggested for use in incense-type fragrances."
406,"Green-floral, fresh and slightly sweet-herbaceous odor, somewhat reminiscent of iso- Butyllinalool. Very good tenacity."
407,"Fresh-floral, fruity and slightly green, natural- herbal odor. Good tenacity."
408,"Sweet floral, somewhat pungent odor, reminiscent of Rose and Geranium, but with a “chemical”’ note. In the description of the odor one often finds the word “metallic”"
409,"Fresh-floral, somewhat “chemical”, but overall sweet odor. Fresher and fruitier, but less rosy than the n-Butylether."
410,"Heavy, sweet-herbaceous, somewhat spicy odor of good tenacity. Woody undertones."
411,"Fresh and sweet-fruity, powerful and rather diffusive odor, reminiscent of Banana (over-ripe) and Pineapple."
412,"Fresh-fruity, rather penetrating odor, reminiscent of Apple, Banana and Pineapple."
413,"Ethereal fruity, somewhat -pungent odor reminiscent of Pear, Pineapple and Banana. Fresher, but not as soft as the n-Butyl-nbutyrate."
414,"Sweet-fruity, but also rather harsh-Pineapple- like, diffusive-ethereal odor. Fresher, but less characteristic (a non-descript fruit type) than the other isomers."
415,"The classical odor picture: Cumin-Anise- Ambregris is rather vague, and does not really describe the material, be it pure or contaminated."
416,Sweet-sour “Buttermilk’” type odor with a mild-fruity undertone.
417,"Heavy, oily-sweet, Brandy (Whisky-Cognac)- like odor with fruity topnote. Not very pleasant at high concentration. Odor resembles residue of Cognac or Whisky."
418,"Heavy vinous-fntity odor, reminiscent of overripe Pineapple, yet pleasant in high dilution,"
419,Heavy winey-fruity Pineapple-like odor.
420,used in flavors
421,"Mild-herbaceous-woody, but overall fruit yoily odor with a faint, winey undertone."
422,"Sweet-oily-balsamic-fruity odor, remotely reminiscent of the odor of fresh Cocoa beans. Floral undertone and good tenacity"
423,"Herbaceous-balsamic odor with a faint. fruity undertone, warm and ““Oriental “’over-all type. The overall odor pattern is also described as Ambre-Cocoa like, mild, sueet and tenacious, which however, more describes the use of this chemical."
424,"Green-oily -herbaceous odor, usually with a floral undertone."
425,"Rather penetrating, oily-fatty, herbaceous odor."
426,"Powerful and diflusive, waxy-fatty-floral odor, yet refreshing and natural odor. lt is much sweeter and less lemony than Citral, and it has more of the natural Citral-Nerol character as for instance observed in Lemon Petitgrain oil, or in terpeneless Lemon oil."
